datetime,SA2605
2025-12-30,1213.0
2025-12-31,1209.0
2026-01-05,1177.0
2026-01-06,1190.0
2026-01-07,1271.0
2026-01-08,1239.0
2026-01-09,1228.0
2026-01-12,1239.0
2026-01-13,1212.0
2026-01-14,1222.0
2026-01-15,1193.0
2026-01-16,1192.0
2026-01-19,1192.0
2026-01-20,1177.0
2026-01-21,1163.0
2026-01-22,1185.0
2026-01-23,1198.0
2026-01-26,1205.0
2026-01-27,1194.0
2026-01-28,1198.0
2026-01-29,1224.0
2026-01-30,1204.0
2026-02-02,1203.0
2026-02-03,1201.0
2026-02-04,1229.0
2026-02-05,1209.0
2026-02-06,1190.0
2026-02-09,1181.0
2026-02-10,1171.0
2026-02-11,1178.0
2026-02-12,1162.0
2026-02-13,1150.0
2026-02-24,1169.0
2026-02-25,1191.0
2026-02-26,1191.0
2026-02-27,1194.0
2026-03-02,1188.0
2026-03-03,1218.0
2026-03-04,1203.0
2026-03-05,1225.0
2026-03-06,1242.0
2026-03-09,1276.0
2026-03-10,1235.0
2026-03-11,1255.0
2026-03-12,1256.0
2026-03-13,1277.0
2026-03-16,1256.0
2026-03-17,1243.0
2026-03-18,1211.0
2026-03-19,1217.0
2026-03-20,1202.0
2026-03-23,1256.0
2026-03-24,1240.0
2026-03-25,1244.0
2026-03-26,1225.0
2026-03-27,1229.0
2026-03-30,1207.0
2026-03-31,1177.0
2026-04-01,1167.0
2026-04-02,1172.0
2026-04-03,1155.0
2026-04-07,1145.0
2026-04-08,1149.0
2026-04-09,1136.0
2026-04-10,1146.0
2026-04-13,1143.0
2026-04-14,1162.0
2026-04-15,1169.0
2026-04-16,1173.0
2026-04-17,1168.0
2026-04-20,1171.0
2026-04-21,1171.0
2026-04-22,1186.0
2026-04-23,1175.0
2026-04-24,1166.0
2026-04-27,1179.0
2026-04-28,1168.0
2026-04-29,1163.0
2026-04-30,1171.0
2026-05-06,1186.0
2026-05-07,1187.0
2026-05-08,1164.0
2026-05-11,1151.0
2026-05-12,1140.0
2026-05-13,1144.0
2026-05-14,1140.0
2026-05-15,1108.0
2026-05-18,1114.0
2026-05-19,1109.0
