datetime,OI2405
2024-01-02,7884.0
2024-01-03,7816.0
2024-01-04,7833.0
2024-01-05,7833.0
2024-01-08,7769.0
2024-01-09,7855.0
2024-01-10,7929.0
2024-01-11,7935.0
2024-01-12,7888.0
2024-01-15,7987.0
2024-01-16,7984.0
2024-01-17,7931.0
2024-01-18,8017.0
2024-01-19,8078.0
2024-01-22,7928.0
2024-01-23,8030.0
2024-01-24,8123.0
2024-01-25,8034.0
2024-01-26,7969.0
2024-01-29,7823.0
2024-01-30,7636.0
2024-01-31,7656.0
2024-02-01,7723.0
2024-02-02,7675.0
2024-02-05,7694.0
2024-02-06,7702.0
2024-02-07,7610.0
2024-02-08,7699.0
2024-02-19,7717.0
2024-02-20,7732.0
2024-02-21,7732.0
2024-02-22,7814.0
2024-02-23,7739.0
2024-02-26,7659.0
2024-02-27,7782.0
2024-02-28,7794.0
2024-02-29,7833.0
2024-03-01,7883.0
2024-03-04,7855.0
2024-03-05,7866.0
2024-03-06,8001.0
2024-03-07,8030.0
2024-03-08,8143.0
2024-03-11,8055.0
2024-03-12,8134.0
2024-03-13,8134.0
2024-03-14,8213.0
2024-03-15,8240.0
2024-03-18,8285.0
2024-03-19,8273.0
2024-03-20,8375.0
2024-03-21,8410.0
2024-03-22,8364.0
2024-03-25,8320.0
2024-03-26,8208.0
2024-03-27,8076.0
2024-03-28,8030.0
2024-03-29,8096.0
2024-04-01,8087.0
2024-04-02,8155.0
2024-04-03,8254.0
2024-04-08,8169.0
2024-04-09,8201.0
2024-04-10,8218.0
2024-04-11,8165.0
2024-04-12,8075.0
2024-04-15,8067.0
2024-04-16,7976.0
2024-04-17,7904.0
2024-04-18,7889.0
2024-04-19,7876.0
2024-04-22,7927.0
2024-04-23,8212.0
2024-04-24,8236.0
2024-04-25,8103.0
2024-04-26,8188.0
2024-04-29,8273.0
2024-04-30,8205.0
2024-05-06,8230.0
2024-05-07,8430.0
2024-05-08,8523.0
2024-05-09,8485.0
2024-05-10,8350.0
2024-05-13,8513.0
2024-05-14,8745.0
2024-05-15,8580.0
2024-05-16,8480.0
2024-05-17,8550.0
