datetime,FG2409
2024-07-09,1503.0
2024-07-10,1464.0
2024-07-11,1465.0
2024-07-12,1473.0
2024-07-15,1456.0
2024-07-16,1454.0
2024-07-17,1439.0
2024-07-18,1459.0
2024-07-19,1443.0
2024-07-22,1428.0
2024-07-23,1406.0
2024-07-24,1427.0
2024-07-25,1412.0
2024-07-26,1390.0
2024-07-29,1341.0
2024-07-30,1346.0
2024-07-31,1375.0
2024-08-01,1347.0
2024-08-02,1371.0
2024-08-05,1353.0
2024-08-06,1335.0
2024-08-07,1312.0
2024-08-08,1297.0
2024-08-09,1308.0
2024-08-12,1304.0
2024-08-13,1267.0
2024-08-14,1241.0
2024-08-15,1244.0
2024-08-16,1239.0
2024-08-19,1233.0
2024-08-20,1241.0
2024-08-21,1240.0
2024-08-22,1191.0
2024-08-23,1154.0
2024-08-26,1121.0
2024-08-27,1127.0
2024-08-28,1128.0
2024-08-29,1113.0
2024-08-30,1070.0
2024-09-02,1000.0
2024-09-03,965.0
2024-09-04,943.0
2024-09-05,958.0
2024-09-06,940.0
2024-09-09,911.0
2024-09-10,915.0
2024-09-11,889.0
2024-09-12,870.0
2024-09-13,880.0
