datetime,TA2409
2024-07-12,5918.0
2024-07-15,5858.0
2024-07-16,5828.0
2024-07-17,5834.0
2024-07-18,5862.0
2024-07-19,5842.0
2024-07-22,5830.0
2024-07-23,5810.0
2024-07-24,5802.0
2024-07-25,5734.0
2024-07-26,5794.0
2024-07-29,5768.0
2024-07-30,5698.0
2024-07-31,5776.0
2024-08-01,5800.0
2024-08-02,5770.0
2024-08-05,5654.0
2024-08-06,5592.0
2024-08-07,5592.0
2024-08-08,5566.0
2024-08-09,5532.0
2024-08-12,5572.0
2024-08-13,5600.0
2024-08-14,5554.0
2024-08-15,5498.0
2024-08-16,5508.0
2024-08-19,5320.0
2024-08-20,5320.0
2024-08-21,5358.0
2024-08-22,5270.0
2024-08-23,5262.0
2024-08-26,5360.0
2024-08-27,5380.0
2024-08-28,5310.0
2024-08-29,5268.0
2024-08-30,5248.0
2024-09-02,5022.0
2024-09-03,5052.0
2024-09-04,4970.0
2024-09-05,4892.0
2024-09-06,4920.0
2024-09-09,4800.0
2024-09-10,4620.0
2024-09-11,4602.0
2024-09-12,4740.0
2024-09-13,4716.0
