datetime,SM2309
2023-03-27,7252.0
2023-03-28,7274.0
2023-03-29,7192.0
2023-03-30,7156.0
2023-03-31,7172.0
2023-04-03,7146.0
2023-04-04,7140.0
2023-04-06,7054.0
2023-04-07,7072.0
2023-04-10,7020.0
2023-04-11,7014.0
2023-04-12,7040.0
2023-04-13,7040.0
2023-04-14,6980.0
2023-04-17,6906.0
2023-04-18,7040.0
2023-04-19,7070.0
2023-04-20,7058.0
2023-04-21,6862.0
2023-04-24,6822.0
2023-04-25,6786.0
2023-04-26,6792.0
2023-04-27,6966.0
2023-04-28,6978.0
2023-05-04,6944.0
2023-05-05,6898.0
2023-05-08,6918.0
2023-05-09,6872.0
2023-05-10,6834.0
2023-05-11,6816.0
2023-05-12,6810.0
2023-05-15,6842.0
2023-05-16,6748.0
2023-05-17,6806.0
2023-05-18,6856.0
2023-05-19,6794.0
2023-05-22,6724.0
2023-05-23,6700.0
2023-05-24,6672.0
2023-05-25,6674.0
2023-05-26,6640.0
2023-05-29,6680.0
2023-05-30,6630.0
2023-05-31,6554.0
2023-06-01,6580.0
2023-06-02,6626.0
2023-06-05,6616.0
2023-06-06,6628.0
2023-06-07,6534.0
2023-06-08,6522.0
2023-06-09,6570.0
2023-06-12,6518.0
2023-06-13,6552.0
2023-06-14,6540.0
2023-06-15,6572.0
2023-06-16,6658.0
2023-06-19,6656.0
2023-06-20,6574.0
2023-06-21,6652.0
2023-06-26,6580.0
2023-06-27,6646.0
2023-06-28,6634.0
2023-06-29,6646.0
2023-06-30,6598.0
2023-07-03,6610.0
2023-07-04,6608.0
2023-07-05,6558.0
2023-07-06,6570.0
2023-07-07,6586.0
2023-07-10,6574.0
2023-07-11,6660.0
2023-07-12,6668.0
2023-07-13,6672.0
2023-07-14,6724.0
2023-07-17,6586.0
2023-07-18,6648.0
2023-07-19,6728.0
2023-07-20,6746.0
2023-07-21,6746.0
2023-07-24,6724.0
2023-07-25,6762.0
2023-07-26,6830.0
2023-07-27,6808.0
2023-07-28,6796.0
2023-07-31,6802.0
2023-08-01,6824.0
2023-08-02,6932.0
2023-08-03,6840.0
2023-08-04,6886.0
2023-08-07,6896.0
2023-08-08,6904.0
2023-08-09,6978.0
2023-08-10,6954.0
2023-08-11,6998.0
2023-08-14,6876.0
2023-08-15,6900.0
2023-08-16,6850.0
2023-08-17,6796.0
2023-08-18,6816.0
2023-08-21,6808.0
2023-08-22,6822.0
2023-08-23,6866.0
2023-08-24,6828.0
2023-08-25,6870.0
2023-08-28,6802.0
2023-08-29,6770.0
2023-08-30,6826.0
2023-08-31,6968.0
2023-09-01,6990.0
2023-09-04,6970.0
2023-09-05,6940.0
2023-09-06,6978.0
2023-09-07,7066.0
