datetime,CF2405
2024-03-13,15925.0
2024-03-14,15930.0
2024-03-15,15995.0
2024-03-18,16090.0
2024-03-19,15980.0
2024-03-20,15890.0
2024-03-21,16065.0
2024-03-22,15895.0
2024-03-25,15855.0
2024-03-26,15945.0
2024-03-27,15895.0
2024-03-28,15925.0
2024-03-29,16085.0
2024-04-01,16190.0
2024-04-02,16230.0
2024-04-03,16250.0
2024-04-08,16185.0
2024-04-09,16265.0
2024-04-10,16280.0
2024-04-11,16210.0
2024-04-12,16155.0
2024-04-15,16190.0
2024-04-16,16150.0
2024-04-17,15935.0
2024-04-18,15795.0
2024-04-19,15670.0
2024-04-22,15715.0
2024-04-23,15680.0
2024-04-24,15610.0
2024-04-25,15490.0
2024-04-26,15525.0
2024-04-29,15530.0
2024-04-30,15390.0
2024-05-06,15305.0
2024-05-07,15340.0
2024-05-08,15375.0
2024-05-09,15055.0
2024-05-10,14950.0
2024-05-13,14870.0
2024-05-14,14920.0
2024-05-15,14690.0
2024-05-16,14980.0
2024-05-17,14980.0
