datetime,SF2001
2019-09-23,5912.0
2019-09-24,5948.0
2019-09-25,5990.0
2019-09-26,5984.0
2019-09-27,5860.0
2019-09-30,5866.0
2019-10-08,5860.0
2019-10-09,5878.0
2019-10-10,5920.0
2019-10-11,5878.0
2019-10-14,5832.0
2019-10-15,5862.0
2019-10-16,5838.0
2019-10-17,5824.0
2019-10-18,5830.0
2019-10-21,5818.0
2019-10-22,5796.0
2019-10-23,5810.0
2019-10-24,5776.0
2019-10-25,5810.0
2019-10-28,5762.0
2019-10-29,5814.0
2019-10-30,5780.0
2019-10-31,5756.0
2019-11-01,5782.0
2019-11-04,5740.0
2019-11-05,5766.0
2019-11-06,5738.0
2019-11-07,5738.0
2019-11-08,5724.0
2019-11-11,5692.0
2019-11-12,5662.0
2019-11-13,5664.0
2019-11-14,5690.0
2019-11-15,5726.0
2019-11-18,5798.0
2019-11-19,5884.0
2019-11-20,5800.0
2019-11-21,5826.0
2019-11-22,5802.0
2019-11-25,5816.0
2019-11-26,5846.0
2019-11-27,5826.0
2019-11-28,5780.0
2019-11-29,5828.0
2019-12-02,5768.0
2019-12-03,5754.0
2019-12-04,5738.0
2019-12-05,5748.0
2019-12-06,5740.0
2019-12-09,5772.0
2019-12-10,5784.0
2019-12-11,5908.0
2019-12-12,5730.0
2019-12-13,5728.0
2019-12-16,5730.0
2019-12-17,5730.0
2019-12-18,5780.0
2019-12-19,5812.0
2019-12-20,5794.0
2019-12-23,5788.0
2019-12-24,5786.0
2019-12-25,5784.0
2019-12-26,5830.0
2019-12-27,5886.0
2019-12-30,5878.0
2019-12-31,5880.0
2020-01-02,5888.0
2020-01-03,5852.0
2020-01-06,5870.0
2020-01-07,5856.0
2020-01-08,5854.0
2020-01-09,5844.0
2020-01-10,5836.0
2020-01-13,5798.0
2020-01-14,5750.0
2020-01-15,5750.0
