datetime,L2309
2023-02-13,8105.0
2023-02-14,8132.0
2023-02-15,8118.0
2023-02-16,8140.0
2023-02-17,8170.0
2023-02-20,8224.0
2023-02-21,8304.0
2023-02-22,8268.0
2023-02-23,8266.0
2023-02-24,8275.0
2023-02-27,8217.0
2023-02-28,8262.0
2023-03-01,8337.0
2023-03-02,8334.0
2023-03-03,8326.0
2023-03-06,8288.0
2023-03-07,8285.0
2023-03-08,8249.0
2023-03-09,8194.0
2023-03-10,8155.0
2023-03-13,8192.0
2023-03-14,8111.0
2023-03-15,8070.0
2023-03-16,7902.0
2023-03-17,7976.0
2023-03-20,7929.0
2023-03-21,7955.0
2023-03-22,7989.0
2023-03-23,7942.0
2023-03-24,7976.0
2023-03-27,7986.0
2023-03-28,8036.0
2023-03-29,8032.0
2023-03-30,8020.0
2023-03-31,8106.0
2023-04-03,8156.0
2023-04-04,8126.0
2023-04-06,8034.0
2023-04-07,8063.0
2023-04-10,8017.0
2023-04-11,8046.0
2023-04-12,8086.0
2023-04-13,8045.0
2023-04-14,8073.0
2023-04-17,8165.0
2023-04-18,8199.0
2023-04-19,8205.0
2023-04-20,8195.0
2023-04-21,8223.0
2023-04-24,8139.0
2023-04-25,8211.0
2023-04-26,8205.0
2023-04-27,8042.0
2023-04-28,8039.0
2023-05-04,7949.0
2023-05-05,7899.0
2023-05-08,7927.0
2023-05-09,7840.0
2023-05-10,7828.0
2023-05-11,7759.0
2023-05-12,7696.0
2023-05-15,7746.0
2023-05-16,7752.0
2023-05-17,7783.0
2023-05-18,7772.0
2023-05-19,7696.0
2023-05-22,7589.0
2023-05-23,7597.0
2023-05-24,7658.0
2023-05-25,7651.0
2023-05-26,7639.0
2023-05-29,7729.0
2023-05-30,7703.0
2023-05-31,7619.0
2023-06-01,7756.0
2023-06-02,7799.0
2023-06-05,7717.0
2023-06-06,7739.0
2023-06-07,7700.0
2023-06-08,7756.0
2023-06-09,7745.0
2023-06-12,7657.0
2023-06-13,7712.0
2023-06-14,7794.0
2023-06-15,7789.0
2023-06-16,7871.0
2023-06-19,7847.0
2023-06-20,7859.0
2023-06-21,7879.0
2023-06-26,7770.0
2023-06-27,7804.0
2023-06-28,7794.0
2023-06-29,7867.0
2023-06-30,7887.0
2023-07-03,7875.0
2023-07-04,7895.0
2023-07-05,7886.0
2023-07-06,7912.0
2023-07-07,7997.0
2023-07-10,7981.0
2023-07-11,8010.0
2023-07-12,8054.0
2023-07-13,8092.0
2023-07-14,8162.0
2023-07-17,8018.0
2023-07-18,8098.0
2023-07-19,8108.0
2023-07-20,8091.0
2023-07-21,8079.0
2023-07-24,8039.0
2023-07-25,8116.0
2023-07-26,8179.0
2023-07-27,8170.0
2023-07-28,8232.0
2023-07-31,8222.0
2023-08-01,8208.0
2023-08-02,8255.0
2023-08-03,8138.0
2023-08-04,8206.0
2023-08-07,8164.0
2023-08-08,8115.0
2023-08-09,8183.0
2023-08-10,8177.0
2023-08-11,8166.0
2023-08-14,8096.0
2023-08-15,8116.0
2023-08-16,8074.0
2023-08-17,8172.0
2023-08-18,8333.0
2023-08-21,8388.0
2023-08-22,8410.0
2023-08-23,8401.0
2023-08-24,8369.0
2023-08-25,8400.0
2023-08-28,8282.0
2023-08-29,8233.0
2023-08-30,8300.0
2023-08-31,8322.0
2023-09-01,8415.0
2023-09-04,8372.0
2023-09-05,8400.0
2023-09-06,8401.0
2023-09-07,8350.0
2023-09-08,8280.0
2023-09-11,8406.0
2023-09-12,8345.0
2023-09-14,8337.0
