datetime,MA2005
2020-02-07,2134.0
2020-02-10,2119.0
2020-02-11,2114.0
2020-02-12,2085.0
2020-02-13,2088.0
2020-02-14,2097.0
2020-02-17,2113.0
2020-02-18,2089.0
2020-02-19,2120.0
2020-02-20,2125.0
2020-02-21,2119.0
2020-02-24,2082.0
2020-02-25,2131.0
2020-02-26,2093.0
2020-02-27,2083.0
2020-02-28,2010.0
2020-03-02,2045.0
2020-03-03,2047.0
2020-03-04,2039.0
2020-03-05,2040.0
2020-03-06,2032.0
2020-03-09,1918.0
2020-03-10,1911.0
2020-03-11,1887.0
2020-03-12,1853.0
2020-03-13,1857.0
2020-03-16,1825.0
2020-03-17,1816.0
2020-03-18,1781.0
2020-03-19,1722.0
2020-03-20,1771.0
2020-03-23,1735.0
2020-03-24,1734.0
2020-03-25,1697.0
2020-03-26,1679.0
2020-03-27,1614.0
2020-03-30,1562.0
2020-03-31,1596.0
2020-04-01,1555.0
2020-04-02,1629.0
2020-04-03,1642.0
2020-04-07,1688.0
2020-04-08,1685.0
2020-04-09,1774.0
2020-04-10,1774.0
2020-04-13,1753.0
2020-04-14,1693.0
2020-04-15,1689.0
2020-04-16,1644.0
2020-04-17,1665.0
2020-04-20,1656.0
2020-04-21,1612.0
2020-04-22,1572.0
2020-04-23,1658.0
2020-04-24,1661.0
2020-04-27,1636.0
2020-04-28,1694.0
2020-04-29,1648.0
2020-04-30,1716.0
2020-05-06,1773.0
2020-05-07,1750.0
2020-05-08,1745.0
2020-05-11,1718.0
2020-05-12,1710.0
2020-05-13,1703.0
2020-05-14,1703.0
2020-05-15,1736.0
2020-05-18,1655.0
2020-05-19,1715.0
