datetime,V2301
2022-08-22,6270.0
2022-08-23,6196.0
2022-08-24,6357.0
2022-08-25,6308.0
2022-08-26,6476.0
2022-08-29,6313.0
2022-08-30,6245.0
2022-08-31,6246.0
2022-09-01,6302.0
2022-09-02,6213.0
2022-09-05,6404.0
2022-09-06,6405.0
2022-09-07,6362.0
2022-09-08,6438.0
2022-09-09,6559.0
2022-09-13,6541.0
2022-09-14,6343.0
2022-09-15,6292.0
2022-09-16,6278.0
2022-09-19,6156.0
2022-09-20,6133.0
2022-09-21,6087.0
2022-09-22,6230.0
2022-09-23,6100.0
2022-09-26,6104.0
2022-09-27,6065.0
2022-09-28,6082.0
2022-09-29,6168.0
2022-09-30,6184.0
2022-10-10,6241.0
2022-10-11,6222.0
2022-10-12,6180.0
2022-10-13,6037.0
2022-10-14,6031.0
2022-10-17,5870.0
2022-10-18,5900.0
2022-10-19,5931.0
2022-10-20,5922.0
2022-10-21,5861.0
2022-10-24,5891.0
2022-10-25,5817.0
2022-10-26,5754.0
2022-10-27,5735.0
2022-10-28,5664.0
2022-10-31,5528.0
2022-11-01,5723.0
2022-11-02,5782.0
2022-11-03,5847.0
2022-11-04,5927.0
2022-11-07,5854.0
2022-11-08,5840.0
2022-11-09,5854.0
2022-11-10,5747.0
2022-11-11,5909.0
2022-11-14,5863.0
2022-11-15,5894.0
2022-11-16,5928.0
2022-11-17,5838.0
2022-11-18,5860.0
2022-11-21,5815.0
2022-11-22,5789.0
2022-11-23,5812.0
2022-11-24,6017.0
2022-11-25,6120.0
2022-11-28,5906.0
2022-11-29,5966.0
2022-11-30,5975.0
2022-12-01,6006.0
2022-12-02,6122.0
2022-12-05,6185.0
2022-12-06,6112.0
2022-12-07,6047.0
2022-12-08,6080.0
2022-12-09,6217.0
2022-12-12,6174.0
2022-12-13,6245.0
2022-12-14,6313.0
2022-12-15,6404.0
2022-12-16,6400.0
2022-12-19,6258.0
2022-12-20,6293.0
2022-12-21,6332.0
2022-12-22,6248.0
2022-12-23,6218.0
2022-12-26,6314.0
2022-12-27,6363.0
2022-12-28,6265.0
2022-12-29,6172.0
2022-12-30,6197.0
2023-01-03,6243.0
2023-01-04,6171.0
2023-01-05,6140.0
2023-01-06,6295.0
2023-01-09,6300.0
2023-01-10,6340.0
2023-01-11,6350.0
2023-01-12,6334.0
2023-01-13,6405.0
2023-01-16,6424.0
