datetime,A2105
2021-03-23,5787.0
2021-03-24,5876.0
2021-03-25,5802.0
2021-03-26,5640.0
2021-03-29,5671.0
2021-03-30,5706.0
2021-03-31,5732.0
2021-04-01,5780.0
2021-04-02,5766.0
2021-04-06,5632.0
2021-04-07,5628.0
2021-04-08,5619.0
2021-04-09,5560.0
2021-04-12,5579.0
2021-04-13,5763.0
2021-04-14,5833.0
2021-04-15,5866.0
2021-04-16,5893.0
2021-04-19,5801.0
2021-04-20,5736.0
2021-04-21,5712.0
2021-04-22,5861.0
2021-04-23,5906.0
2021-04-26,5878.0
2021-04-27,5844.0
2021-04-28,5852.0
2021-04-29,5828.0
2021-04-30,5755.0
2021-05-06,5980.0
2021-05-07,6042.0
2021-05-10,6111.0
2021-05-11,6100.0
2021-05-12,6150.0
2021-05-13,6152.0
2021-05-14,6135.0
2021-05-18,6133.0
