symbol,direction,entry_date,exit_date,entry_price,exit_price,pnl_pct,bars
M0,short,2016-11-03,2016-11-09,2825.0,2897.0,-0.02485329651363477,4
M0,long,2017-03-06,2017-03-10,2962.0,2860.0,-0.03443619176232271,4
M0,short,2017-05-12,2017-06-20,2792.0,2711.0,0.02987827369974183,25
M0,long,2017-11-15,2017-12-01,2832.0,2800.0,-0.011299435028248594,12
M0,long,2017-12-06,2017-12-13,2912.0,2842.0,-0.024038461538461564,5
M0,long,2018-04-02,2018-05-08,3163.0,3089.0,-0.023395510591210922,22
M0,short,2018-06-08,2018-06-21,2893.0,3012.0,-0.039508632138114175,8
M0,long,2018-07-26,2018-08-22,3200.0,3201.0,0.00031249999999993783,19
M0,short,2018-11-26,2019-01-08,3040.0,2677.0,0.135599551737019,29
M0,short,2019-01-17,2019-02-13,2538.0,2620.0,-0.0312977099236641,14
M0,short,2019-02-22,2019-03-15,2546.0,2566.0,-0.0077942322681215925,15
M0,long,2019-05-09,2019-06-21,2690.0,2880.0,0.07063197026022294,30
M0,short,2020-01-10,2020-02-17,2666.0,2681.0,-0.005594927265945571,20
M0,long,2020-07-01,2020-08-06,2882.0,2873.0,-0.003122831367106227,26
M0,long,2020-08-25,2020-11-02,2919.0,3174.0,0.0873586844809866,43
M0,long,2020-11-24,2020-12-03,3236.0,3096.0,-0.04326328800988877,7
M0,long,2021-02-23,2021-03-02,3591.0,3351.0,-0.06683375104427736,5
M0,long,2021-08-17,2021-08-23,3637.0,3485.0,-0.04179268627990107,4
M0,short,2021-09-29,2021-11-18,3478.0,3213.0,0.08247743541861197,31
M0,short,2021-12-07,2021-12-24,3043.0,3263.0,-0.06742261722341403,13
M0,long,2022-01-21,2022-04-01,3270.0,3808.0,0.16452599388379197,45
M0,long,2022-06-09,2022-06-16,4186.0,4118.0,-0.01624462494027712,5
M0,short,2022-07-21,2022-07-28,3820.0,3962.0,-0.035840484603735456,5
M0,long,2022-10-14,2022-10-19,4163.0,3988.0,-0.04203699255344706,3
M0,long,2022-11-01,2022-11-21,4234.0,4139.0,-0.02243741143127065,14
M0,long,2022-11-25,2022-12-21,4303.0,3758.0,-0.12665582151986987,18
M0,short,2023-02-28,2023-05-16,3775.0,3548.0,0.06397970687711396,51
M0,short,2023-05-25,2023-06-07,3434.0,3478.0,-0.012650948821161578,9
M0,long,2023-08-10,2023-08-16,4488.0,3900.0,-0.13101604278074863,4
M0,short,2024-01-02,2024-02-29,3248.0,3021.0,0.07514068189341283,36
M0,long,2024-04-16,2024-05-31,3385.0,3495.0,0.03249630723781394,30
M0,short,2024-07-04,2024-08-30,3307.0,3027.0,0.09250082590023134,41
M0,short,2024-11-05,2024-11-08,2957.0,3013.0,-0.01858612678393623,3
M0,short,2024-11-15,2024-12-30,2814.0,2683.0,0.048825941110697046,31
M0,long,2025-02-21,2025-03-07,2945.0,2885.0,-0.02037351443123936,10
M0,long,2025-03-31,2025-04-29,2989.0,2964.0,-0.008364001338240223,20
M0,long,2025-08-05,2025-08-28,3065.0,3039.0,-0.008482871125611746,17
M0,short,2026-02-05,2026-02-13,2731.0,2800.0,-0.02464285714285719,6
M0,long,2026-04-22,2026-05-25,3026.0,2973.0,-0.01751487111698613,20
MA0,long,2015-04-17,2015-05-12,2554.0,2503.0,-0.019968676585747858,16
MA0,short,2015-06-11,2015-06-17,2439.0,2517.0,-0.030989272943980906,4
MA0,short,2015-08-25,2015-09-21,1902.0,1950.0,-0.024615384615384595,17
MA0,short,2015-10-21,2015-12-24,1919.0,1712.0,0.12091121495327095,46
MA0,long,2016-03-07,2016-03-30,1890.0,1882.0,-0.004232804232804255,17
MA0,long,2016-04-14,2016-05-10,1980.0,1938.0,-0.021212121212121238,17
MA0,long,2016-09-29,2017-01-06,2100.0,2646.0,0.26,65
MA0,long,2017-01-18,2017-03-02,2838.0,2857.0,0.006694855532064725,26
MA0,short,2017-04-13,2017-05-23,2468.0,2380.0,0.03697478991596648,27
MA0,short,2017-06-05,2017-06-08,2253.0,2337.0,-0.03594351732991019,3
MA0,short,2017-06-28,2017-07-03,2287.0,2404.0,-0.04866888519134771,3
MA0,long,2017-08-07,2017-09-19,2598.0,2769.0,0.06581986143187057,31
MA0,long,2017-12-04,2017-12-13,3087.0,2944.0,-0.04632329122125045,7
MA0,short,2018-03-28,2018-04-11,2686.0,2729.0,-0.015756687431293548,8
MA0,short,2018-04-12,2018-05-04,2637.0,2759.0,-0.04421891989851401,14
MA0,long,2018-06-08,2018-06-25,2802.0,2744.0,-0.020699500356887945,10
MA0,long,2018-06-29,2018-09-04,2839.0,3244.0,0.14265586474110603,47
MA0,long,2018-10-09,2018-10-29,3422.0,3072.0,-0.10227936879018118,14
MA0,short,2019-01-29,2019-02-11,2438.0,2532.0,-0.03712480252764616,4
MA0,short,2019-04-19,2019-05-20,2439.0,2508.0,-0.027511961722488043,16
MA0,short,2019-05-31,2019-06-24,2405.0,2404.0,0.0004159733777038266,15
MA0,short,2019-06-28,2019-08-12,2272.0,2134.0,0.06466729147141526,30
MA0,short,2020-05-22,2020-06-05,1682.0,1757.0,-0.04268639726807055,10
MA0,short,2020-06-15,2020-06-23,1682.0,1766.0,-0.047565118912797244,6
MA0,long,2020-09-17,2020-09-24,2092.0,1996.0,-0.04588910133843216,5
