direction,entry_date,exit_date,entry_price,exit_price,pnl_pct,bars,pnl%
long,2024-02-07 15:00:00,2024-02-08 11:15:00,1850.9661,1853.1905,0.0012017508046202607,16,0.12
short,2024-02-20 09:45:00,2024-02-21 11:30:00,1735.7245,1749.0,-0.007590337335620312,29,-0.76
short,2024-02-21 15:00:00,2024-02-21 22:45:00,1727.0482,1743.0654,-0.009189098699337372,7,-0.92
short,2024-03-04 09:15:00,2024-03-04 21:15:00,1611.5252,1645.2173,-0.020478814561456393,15,-2.05
short,2024-03-08 10:45:00,2024-03-08 13:45:00,1614.2362,1624.226,-0.006150498760640444,4,-0.62
short,2024-03-08 22:15:00,2024-03-11 21:45:00,1602.128,1577.1235,0.015854497127206546,21,1.59
long,2024-03-13 09:30:00,2024-03-13 10:15:00,1593.0677,1585.1663,-0.004959864543107595,3,-0.5
short,2024-03-13 14:30:00,2024-03-13 22:45:00,1581.1784,1588.0,-0.004295717884130967,9,-0.43
short,2024-03-28 14:45:00,2024-03-29 14:30:00,1461.1025,1469.0407,-0.005403662403635323,22,-0.54
short,2024-04-03 15:00:00,2024-04-08 09:45:00,1466.1182,1507.9461,-0.027738325660313756,3,-2.77
long,2024-04-09 14:30:00,2024-04-10 14:15:00,1545.9574,1555.1057,0.005917562799595988,22,0.59
short,2024-04-11 22:15:00,2024-04-12 11:15:00,1524.27,1534.1901,-0.006466017477234409,11,-0.65
short,2024-04-12 22:15:00,2024-04-15 23:00:00,1528.1758,1505.1581,0.015292546344467084,26,1.53
short,2024-04-16 21:15:00,2024-04-17 11:00:00,1485.9577,1497.0436,-0.0074051951459530585,14,-0.74
long,2024-04-19 10:00:00,2024-04-19 13:45:00,1546.9295,1526.0,-0.013529705135237213,6,-1.35
long,2024-04-22 21:30:00,2024-04-23 10:00:00,1551.2914,1539.8963,-0.007345557385285528,10,-0.73
long,2024-04-24 21:15:00,2024-04-25 14:45:00,1584.0828,1577.4691,-0.00417509741283717,21,-0.42
short,2024-04-30 10:00:00,2024-05-06 11:00:00,1545.5026,1522.0467,0.01541076236359884,18,1.54
short,2024-05-09 09:30:00,2024-05-09 14:00:00,1553.3556,1579.5872,-0.016606617222524878,9,-1.66
short,2024-05-13 11:30:00,2024-05-13 14:45:00,1544.9231,1561.6238,-0.010694445102591321,5,-1.07
short,2024-05-13 22:15:00,2024-05-15 11:30:00,1536.212,1521.0469,0.009970172517362874,35,1.0
short,2024-05-15 22:00:00,2024-05-15 23:00:00,1504.9265,1518.7093,-0.009075337854321353,4,-0.91
short,2024-05-16 10:45:00,2024-05-16 14:15:00,1502.456,1518.124,-0.010320632570198551,6,-1.03
long,2024-05-17 11:00:00,2024-05-20 14:45:00,1541.9442,1556.9188,0.009711505773036366,30,0.97
long,2024-05-20 21:30:00,2024-05-21 09:45:00,1590.2577,1566.541,-0.01491374636953502,9,-1.49
long,2024-05-21 15:00:00,2024-05-22 10:45:00,1572.6907,1558.3796,-0.009099754961353845,14,-0.91
long,2024-05-22 14:30:00,2024-05-22 22:15:00,1582.5723,1565.7078,-0.01065638517747347,7,-1.07
short,2024-05-27 21:30:00,2024-05-28 10:15:00,1556.5538,1561.2053,-0.00297942877852142,11,-0.3
short,2024-05-28 11:30:00,2024-05-29 10:15:00,1553.0986,1545.7294,0.0047674580039689385,19,0.48
long,2024-06-04 22:30:00,2024-06-05 11:00:00,1638.9326,1634.8462,-0.002493330110097336,9,-0.25
long,2024-06-05 14:15:00,2024-06-07 10:00:00,1649.5731,1683.148,0.020353690297204574,38,2.04
short,2024-06-12 21:15:00,2024-06-13 21:45:00,1626.5874,1627.3774,-0.00048544363464808615,25,-0.05
short,2024-06-14 11:00:00,2024-06-14 14:30:00,1614.0177,1626.031,-0.00738811252675986,6,-0.74
short,2024-06-14 21:15:00,2024-06-17 23:00:00,1599.9411,1589.3804,0.006644538966253721,30,0.66
short,2024-06-18 15:00:00,2024-06-19 09:15:00,1569.8933,1581.9628,-0.007629446153853969,9,-0.76
short,2024-06-19 14:00:00,2024-06-20 09:45:00,1571.059,1574.6528,-0.0022822808939215733,15,-0.23
short,2024-06-20 14:30:00,2024-06-20 21:15:00,1564.6729,1574.6462,-0.006333676733224158,3,-0.63
short,2024-06-21 23:00:00,2024-06-24 21:45:00,1549.3267,1527.1387,0.014529132160687297,18,1.45
long,2024-06-27 10:45:00,2024-06-27 11:30:00,1537.0,1517.3013,-0.012816330513988228,3,-1.28
