MACD,LON,MA,离场根,IS夏普均值,OOS夏普均值,IS夏普中位,OOS夏普中位,OOS盈利品种%
"(5, 34, 5)","(13, 34)",30,2,0.075,-0.123,0.092,0.008,50.0
"(5, 34, 5)","(13, 34)",30,3,0.072,-0.116,0.067,0.086,52.0
"(5, 34, 5)","(13, 34)",30,4,0.055,-0.076,0.043,0.051,52.0
"(5, 34, 5)","(13, 34)",40,2,0.076,-0.106,0.074,0.049,52.0
"(5, 34, 5)","(13, 34)",40,3,0.055,-0.087,0.055,-0.009,50.0
"(5, 34, 5)","(13, 34)",40,4,0.049,-0.055,0.071,-0.03,48.0
"(6, 19, 6)","(10, 20)",10,2,0.072,-0.132,0.12,-0.175,39.0
"(6, 19, 6)","(10, 20)",10,3,0.064,-0.098,0.138,-0.175,41.0
"(6, 19, 6)","(10, 20)",10,4,0.092,-0.097,0.077,-0.061,48.0
"(6, 19, 6)","(10, 20)",20,2,0.084,-0.116,0.072,-0.113,48.0
"(6, 19, 6)","(10, 20)",20,3,0.075,-0.1,0.074,-0.108,48.0
"(6, 19, 6)","(10, 20)",20,4,0.088,-0.112,0.071,-0.092,50.0
"(6, 19, 6)","(10, 20)",30,2,0.098,-0.105,0.104,-0.112,48.0
"(6, 19, 6)","(10, 20)",30,3,0.104,-0.107,0.067,-0.072,45.0
"(6, 19, 6)","(10, 20)",30,4,0.091,-0.054,0.09,-0.014,48.0
"(6, 19, 6)","(10, 20)",40,2,0.095,-0.111,0.083,-0.074,48.0
"(6, 19, 6)","(10, 20)",40,3,0.083,-0.085,0.084,-0.078,48.0
"(6, 19, 6)","(10, 20)",40,4,0.081,-0.022,0.079,0.064,55.0
"(6, 19, 6)","(5, 15)",10,2,0.071,-0.129,0.115,-0.165,39.0
"(6, 19, 6)","(5, 15)",10,3,0.056,-0.108,0.087,-0.138,41.0
"(6, 19, 6)","(5, 15)",10,4,0.088,-0.107,0.051,-0.086,43.0
"(6, 19, 6)","(5, 15)",20,2,0.076,-0.129,0.114,-0.122,41.0
"(6, 19, 6)","(5, 15)",20,3,0.072,-0.108,0.129,-0.097,43.0
"(6, 19, 6)","(5, 15)",20,4,0.089,-0.124,0.082,-0.132,48.0
"(6, 19, 6)","(5, 15)",30,2,0.098,-0.114,0.13,-0.057,45.0
"(6, 19, 6)","(5, 15)",30,3,0.101,-0.113,0.089,-0.054,41.0
"(6, 19, 6)","(5, 15)",30,4,0.097,-0.058,0.089,-0.034,45.0
"(6, 19, 6)","(5, 15)",40,2,0.104,-0.112,0.104,-0.095,43.0
"(6, 19, 6)","(5, 15)",40,3,0.092,-0.077,0.083,-0.1,45.0
"(6, 19, 6)","(5, 15)",40,4,0.086,-0.027,0.099,-0.001,50.0
"(6, 19, 6)","(13, 34)",10,2,0.057,-0.139,0.068,-0.21,43.0
"(6, 19, 6)","(13, 34)",10,3,0.056,-0.106,0.07,-0.13,41.0
"(6, 19, 6)","(13, 34)",10,4,0.085,-0.12,0.039,-0.041,43.0
"(6, 19, 6)","(13, 34)",20,2,0.078,-0.14,0.077,-0.171,48.0
"(6, 19, 6)","(13, 34)",20,3,0.066,-0.13,0.018,-0.117,43.0
"(6, 19, 6)","(13, 34)",20,4,0.078,-0.145,0.091,-0.105,41.0
"(6, 19, 6)","(13, 34)",30,2,0.086,-0.131,0.087,-0.04,48.0
"(6, 19, 6)","(13, 34)",30,3,0.093,-0.131,0.07,-0.06,43.0
"(6, 19, 6)","(13, 34)",30,4,0.081,-0.092,0.066,-0.105,45.0
"(6, 19, 6)","(13, 34)",40,2,0.093,-0.128,0.087,-0.125,43.0
"(6, 19, 6)","(13, 34)",40,3,0.079,-0.102,0.041,-0.132,43.0
"(6, 19, 6)","(13, 34)",40,4,0.075,-0.076,0.078,-0.09,48.0
